Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Performance,Performance,Performance,Performance
Squad,# Pl,90s,CrdY,CrdR,2CrdY,OG
ADO Den Haag,25,22.0,18,0,0,0
Ajax,23,22.0,9,0,0,2
Excelsior,21,22.0,22,0,0,2
FC Utrecht,25,22.0,24,0,0,1
Feyenoord Vrouwen,26,22.0,17,3,0,0
Fortuna Sittard,20,22.0,20,0,0,0
Heerenveen,21,22.0,24,0,0,0
PSV,28,22.0,10,0,0,0
Telstar 1963,22,22.0,27,1,1,3
Twente,25,22.0,15,0,0,0
VV Alkmaar,23,22.0,35,0,0,5
Zwolle,21,22.0,15,1,0,2
