Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
ADO Den Haag,25,23.5,22,242,1980,22.0,29,17,46,26,3,4,18,0,1.32,0.77,2.09,1.18,1.95
Ajax,23,22.8,22,242,1980,22.0,62,38,100,59,3,4,9,0,2.82,1.73,4.55,2.68,4.41
Excelsior,21,22.0,22,242,1980,22.0,19,13,32,19,0,1,22,0,0.86,0.59,1.45,0.86,1.45
FC Utrecht,25,25.0,22,242,1980,22.0,34,18,52,31,3,4,24,0,1.55,0.82,2.36,1.41,2.23
Feyenoord Vrouwen,26,22.8,22,242,1980,22.0,25,16,41,23,2,2,17,3,1.14,0.73,1.86,1.05,1.77
Fortuna Sittard,20,23.9,22,242,1980,22.0,56,38,94,52,4,4,20,0,2.55,1.73,4.27,2.36,4.09
Heerenveen,21,21.0,22,242,1980,22.0,15,10,25,15,0,0,24,0,0.68,0.45,1.14,0.68,1.14
PSV,28,23.5,22,242,1980,22.0,48,34,82,44,4,5,10,0,2.18,1.55,3.73,2.0,3.55
Telstar 1963,22,25.0,22,242,1980,22.0,15,8,23,15,0,0,27,1,0.68,0.36,1.05,0.68,1.05
Twente,25,23.0,22,242,1980,22.0,53,35,88,53,0,0,15,0,2.41,1.59,4.0,2.41,4.0
VV Alkmaar,23,20.5,22,242,1980,22.0,28,17,45,27,1,2,35,0,1.27,0.77,2.05,1.23,2.0
Zwolle,21,19.6,22,242,1980,22.0,34,24,58,34,0,1,15,1,1.55,1.09,2.64,1.55,2.64
