Unnamed: 0_level_0,Unnamed: 1_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
Squad,# Pl,MP,Starts,Min,90s,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
ADO Den Haag,1,22,22,1980,22.0,9,5,8,9,40.9,2,1,1,0,50.0
Ajax,2,22,22,1980,22.0,17,3,2,8,36.4,2,1,1,0,50.0
Excelsior,1,22,22,1980,22.0,2,5,15,1,4.5,3,2,1,0,33.3
FC Utrecht,3,22,22,1980,22.0,8,6,8,5,22.7,3,3,0,0,0.0
Feyenoord Vrouwen,3,22,22,1979,22.0,7,3,12,5,22.7,3,2,1,0,33.3
Fortuna Sittard,2,22,22,1980,22.0,12,4,6,7,31.8,2,1,1,0,50.0
Heerenveen,1,22,22,1980,22.0,5,4,13,6,27.3,2,2,0,0,0.0
PSV,3,22,22,1980,22.0,12,5,5,7,31.8,2,2,0,0,0.0
Telstar 1963,2,22,22,1890,22.0,3,3,16,3,13.6,5,3,2,0,40.0
Twente,2,22,22,1980,22.0,18,2,2,9,40.9,1,1,0,0,0.0
VV Alkmaar,2,22,22,1980,22.0,5,6,11,4,18.2,0,0,0,0,
Zwolle,2,22,22,1980,22.0,9,4,9,7,31.8,2,2,0,0,0.0
