Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success
Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90
vs ADO Den Haag,25,22.7,22,1980,90,100,22.0,242,85,157,84,25,100,1.32,23,31,-8,-0.36
vs Ajax,23,22.6,22,1980,90,100,22.0,242,80,156,88,22,102,0.41,20,62,-42,-1.91
vs Excelsior,21,22.7,22,1980,90,100,22.0,242,83,164,78,23,93,2.27,53,20,33,1.5
vs FC Utrecht,25,22.6,22,1980,90,100,22.0,242,82,152,89,21,110,1.36,45,34,11,0.5
vs Feyenoord Vrouwen,26,22.6,22,1980,90,100,22.0,242,80,163,79,17,108,1.77,34,26,8,0.36
vs Fortuna Sittard,20,22.6,22,1980,90,100,22.0,242,83,154,89,20,104,1.0,27,57,-30,-1.36
vs Heerenveen,21,22.8,22,1980,90,100,22.0,242,85,150,93,20,95,1.95,38,15,23,1.05
vs PSV,28,22.6,22,1980,90,100,22.0,242,84,163,79,24,105,0.91,24,52,-28,-1.27
vs Telstar 1963,22,22.4,22,1980,90,100,22.0,242,81,156,85,22,100,2.32,69,16,53,2.41
vs Twente,25,22.6,22,1980,90,100,22.0,242,84,159,84,19,97,0.36,21,56,-35,-1.59
vs VV Alkmaar,23,22.6,22,1980,90,100,22.0,242,81,160,81,20,96,1.77,38,28,10,0.45
vs Zwolle,21,22.9,22,1980,90,100,22.0,242,82,154,88,23,100,1.41,41,36,5,0.23
